<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.03	18:00:00	21683.90	21692.78	21675.15	21690.03	21896	0	95
2025.06.03	18:15:00	21689.90	21713.28	21689.03	21708.78	22592	0	95
2025.06.03	18:30:00	21708.90	21745.15	21706.15	21735.03	24357	0	95
2025.06.03	18:45:00	21735.15	21747.15	21729.40	21737.53	17150	0	95
2025.06.03	19:00:00	21737.65	21743.78	21731.03	21740.78	20048	0	95
2025.06.03	19:15:00	21740.65	21759.15	21740.03	21744.28	20004	0	95
2025.06.03	19:30:00	21744.40	21748.40	21725.15	21734.53	24670	0	95
2025.06.03	19:45:00	21734.65	21741.28	21715.40	21717.28	28819	0	95
2025.06.03	20:00:00	21717.15	21721.03	21635.50	21652.78	68284	0	95
2025.06.03	20:15:00	21652.65	21700.03	21640.03	21698.53	41678	0	95
2025.06.03	20:30:00	21698.40	21708.28	21687.53	21707.03	27759	0	95
2025.06.03	20:45:00	21706.90	21712.78	21690.03	21710.03	24974	0	95
2025.06.03	21:00:00	21710.15	21718.03	21690.40	21699.03	29947	0	95
2025.06.03	21:15:00	21698.90	21715.40	21696.40	21712.03	26526	0	95
2025.06.03	21:30:00	21712.15	21714.90	21681.78	21687.53	29368	0	95
2025.06.03	21:45:00	21687.40	21725.03	21664.53	21703.65	63700	0	95
2025.06.03	22:00:00	21703.53	21704.25	21665.40	21679.78	22174	0	95
2025.06.03	22:15:00	21679.90	21681.40	21666.03	21670.78	3876	0	95
2025.06.03	22:30:00	21670.65	21705.53	21667.40	21701.15	4312	0	95
2025.06.03	22:45:00	21701.28	21701.65	21684.90	21688.15	3902	0	95
2025.06.04	00:00:00	21687.78	21706.65	21680.25	21701.00	2310	0	95
2025.06.04	00:15:00	21701.25	21715.25	21695.00	21712.25	1603	0	95
2025.06.04	00:30:00	21712.53	21721.00	21707.65	21712.50	4741	0	95
2025.06.04	00:45:00	21712.65	21717.00	21706.78	21708.50	2981	0	95
2025.06.04	01:00:00	21708.50	21718.53	21690.00	21711.75	5565	0	95
2025.06.04	01:15:00	21711.50	21718.15	21704.75	21712.50	3067	0	95
2025.06.04	01:30:00	21712.50	21717.65	21698.15	21703.50	4807	0	95
2025.06.04	01:45:00	21703.40	21712.78	21693.00	21704.75	6270	0	95
2025.06.04	02:00:00	21704.65	21726.15	21690.75	21697.25	12884	0	95
2025.06.04	02:15:00	21697.15	21705.53	21694.90	21702.25	7193	0	95
2025.06.04	02:30:00	21702.15	21713.15	21696.25	21709.50	6911	0	95
2025.06.04	02:45:00	21709.65	21716.03	21696.25	21699.15	6090	0	95
2025.06.04	03:00:00	21699.25	21710.15	21696.75	21707.65	6161	0	95
2025.06.04	03:15:00	21707.78	21710.03	21699.53	21706.25	5000	0	95
2025.06.04	03:30:00	21706.40	21707.25	21692.40	21697.40	7131	0	95
2025.06.04	03:45:00	21697.50	21703.65	21671.28	21680.75	8538	0	95
2025.06.04	04:00:00	21680.90	21683.25	21667.15	21672.65	6465	0	95
2025.06.04	04:15:00	21672.53	21677.00	21666.50	21675.90	4565	0	95
2025.06.04	04:30:00	21676.00	21685.00	21670.50	21682.15	4673	0	95
2025.06.04	04:45:00	21682.28	21686.03	21672.40	21672.90	3402	0	95
2025.06.04	05:00:00	21672.78	21680.90	21671.40	21678.65	2901	0	95
2025.06.04	05:15:00	21678.53	21682.78	21672.28	21674.90	2720	0	95
2025.06.04	05:30:00	21675.03	21678.65	21669.28	21675.40	3376	0	95
2025.06.04	05:45:00	21675.50	21680.28	21674.53	21679.03	2126	0	95
2025.06.04	06:00:00	21679.15	21694.15	21672.65	21693.78	3994	0	95
2025.06.04	06:15:00	21694.00	21695.78	21688.03	21690.15	2361	0	95
2025.06.04	06:30:00	21690.25	21690.90	21679.00	21681.90	2372	0	95
2025.06.04	06:45:00	21682.03	21686.15	21676.65	21677.28	1919	0	95
2025.06.04	07:00:00	21677.40	21686.28	21673.03	21684.90	3370	0	95
2025.06.04	07:15:00	21685.03	21690.40	21676.00	21689.65	2825	0	95
2025.06.04	07:30:00	21689.53	21694.75	21684.90	21686.65	3852	0	95
2025.06.04	07:45:00	21686.53	21695.28	21683.90	21694.15	3237	0	95
2025.06.04	08:00:00	21694.25	21714.65	21694.15	21710.15	7649	0	95
2025.06.04	08:15:00	21710.28	21711.28	21685.90	21689.15	6904	0	95
2025.06.04	08:30:00	21689.28	21696.65	21679.78	21687.90	5571	0	95
2025.06.04	08:45:00	21688.00	21701.65	21683.65	21690.40	6236	0	95
2025.06.04	09:00:00	21690.53	21698.78	21674.03	21681.40	14353	0	95
2025.06.04	09:15:00	21681.28	21697.25	21675.78	21696.40	10319	0	95
2025.06.04	09:30:00	21696.53	21704.90	21691.90	21695.65	6525	0	95
2025.06.04	09:45:00	21695.75	21722.15	21692.75	21720.53	6603	0	95
2025.06.04	10:00:00	21720.40	21746.15	21716.65	21745.15	13454	0	95
2025.06.04	10:15:00	21745.03	21747.90	21726.40	21728.40	9271	0	95
2025.06.04	10:30:00	21728.28	21740.03	21725.15	21732.15	7956	0	95
2025.06.04	10:45:00	21732.28	21736.15	21713.75	21716.90	6708	0	95
2025.06.04	11:00:00	21717.03	21736.15	21716.53	21725.40	8603	0	95
2025.06.04	11:15:00	21725.50	21734.65	21720.25	21730.65	6794	0	95
2025.06.04	11:30:00	21730.78	21744.50	21723.78	21743.40	5338	0	95
2025.06.04	11:45:00	21743.50	21745.15	21732.65	21736.03	5820	0	95
2025.06.04	12:00:00	21736.15	21761.50	21731.90	21749.65	9262	0	95
2025.06.04	12:15:00	21749.53	21753.03	21719.65	21728.15	9628	0	95
2025.06.04	12:30:00	21728.28	21732.03	21719.50	21730.40	5940	0	95
2025.06.04	12:45:00	21730.28	21750.78	21728.65	21749.50	5795	0	95
2025.06.04	13:00:00	21749.25	21751.50	21735.90	21741.90	9279	0	95
2025.06.04	13:15:00	21741.78	21744.03	21727.25	21731.15	6341	0	95
2025.06.04	13:30:00	21731.28	21743.75	21726.90	21743.40	5693	0	95
2025.06.04	13:45:00	21743.25	21755.40	21742.50	21747.03	5936	0	95
2025.06.04	14:00:00	21747.15	21766.65	21746.50	21757.00	8919	0	95
2025.06.04	14:15:00	21757.00	21758.00	21654.90	21679.65	45159	0	95
2025.06.04	14:30:00	21679.78	21707.03	21676.90	21683.90	24495	0	95
2025.06.04	14:45:00	21684.03	21711.53	21683.90	21708.40	18095	0	95
2025.06.04	15:00:00	21708.53	21715.65	21698.90	21711.28	14817	0	95
2025.06.04	15:15:00	21711.40	21733.50	21703.15	21725.03	19822	0	95
2025.06.04	15:30:00	21724.90	21792.65	21716.15	21756.25	98664	0	95
2025.06.04	15:45:00	21753.25	21785.78	21734.03	21749.00	67671	0	95
2025.06.04	16:00:00	21748.75	21748.75	21640.90	21711.15	143732	0	95
2025.06.04	16:15:00	21711.03	21745.78	21695.50	21743.28	86061	0	95
2025.06.04	16:30:00	21743.15	21757.65	21709.65	21724.53	61636	0	95
2025.06.04	16:45:00	21724.65	21763.03	21705.03	21760.65	54074	0	95
2025.06.04	17:00:00	21760.78	21784.03	21754.90	21771.40	39496	0	95
2025.06.04	17:15:00	21771.53	21779.15	21753.15	21754.15	45827	0	95
2025.06.04	17:30:00	21754.03	21774.25	21731.15	21740.03	50309	0	95
2025.06.04	17:45:00	21739.90	21766.15	21736.53	21753.78	54823	0	95
2025.06.04	18:00:00	21753.65	21756.28	21705.53	21709.28	48654	0	95
2025.06.04	18:15:00	21709.40	21740.40	21707.78	21719.28	39603	0	95
2025.06.04	18:30:00	21719.15	21735.40	21712.15	21733.78	35651	0	95
2025.06.04	18:45:00	21733.90	21756.25	21731.03	21753.53	25647	0	95
2025.06.04	19:00:00	21753.65	21775.90	21752.28	21772.28	22907	0	95
2025.06.04	19:15:00	21772.40	21781.15	21765.53	21773.53	19221	0	95
2025.06.04	19:30:00	21773.65	21782.90	21754.03	21772.28	26580	0	95
2025.06.04	19:45:00	21772.40	21790.15	21769.40	21785.53	18631	0	95
2025.06.04	20:00:00	21785.65	21798.78	21777.65	21786.40	25639	0	95
2025.06.04	20:15:00	21786.53	21797.65	21777.28	21795.40	21518	0	95
2025.06.04	20:30:00	21795.53	21801.65	21784.53	21798.65	22372	0	95
2025.06.04	20:45:00	21798.78	21799.40	21771.15	21782.28	26915	0	95
2025.06.04	21:00:00	21782.40	21797.65	21774.65	21792.15	26065	0	95
2025.06.04	21:15:00	21792.03	21793.40	21778.40	21784.03	22297	0	95
2025.06.04	21:30:00	21784.15	21792.53	21763.03	21780.15	31077	0	95
2025.06.04	21:45:00	21780.28	21789.40	21747.78	21756.53	58098	0	95
2025.06.04	22:00:00	21756.65	21763.65	21742.15	21758.03	19298	0	95
2025.06.04	22:15:00	21758.15	21764.40	21751.40	21760.53	5269	0	95
2025.06.04	22:30:00	21760.65	21760.78	21750.90	21756.53	2932	0	95
2025.06.04	22:45:00	21756.40	21763.28	21740.00	21747.25	3934	0	95
2025.06.05	00:00:00	21741.00	21758.90	21731.40	21756.15	6579	0	95
2025.06.05	00:15:00	21756.03	21760.28	21751.00	21758.50	3713	0	95
2025.06.05	00:30:00	21758.40	21770.78	21750.00	21753.40	4764	0	95
2025.06.05	00:45:00	21753.50	21754.90	21748.40	21750.00	2342	0	95
2025.06.05	01:00:00	21750.15	21758.00	21741.03	21746.50	4024	0	95
2025.06.05	01:15:00	21746.50	21750.65	21737.78	21744.15	3475	0	95
2025.06.05	01:30:00	21744.00	21746.65	21737.00	21746.28	2746	0	95
2025.06.05	01:45:00	21746.50	21751.15	21736.90	21741.40	4326	0	95
2025.06.05	02:00:00	21741.65	21754.53	21737.28	21751.90	6488	0	95
2025.06.05	02:15:00	21751.75	21762.28	21750.50	21761.90	4475	0	95
2025.06.05	02:30:00	21761.78	21766.40	21756.03	21757.90	3969	0	95
2025.06.05	02:45:00	21757.78	21761.00	21743.03	21744.90	4801	0	95
2025.06.05	03:00:00	21744.78	21751.53	21742.00	21745.03	4298	0	95
2025.06.05	03:15:00	21744.90	21749.03	21730.75	21739.15	4610	0	95
2025.06.05	03:30:00	21739.03	21746.90	21733.90	21741.40	5499	0	95
2025.06.05	03:45:00	21741.50	21757.03	21740.40	21755.90	4238	0	95
2025.06.05	04:00:00	21756.03	21758.28	21745.90	21747.90	3843	0	95
2025.06.05	04:15:00	21747.78	21750.40	21738.90	21740.15	3799	0	95
2025.06.05	04:30:00	21740.28	21748.78	21736.28	21744.40	4201	0	95
2025.06.05	04:45:00	21744.28	21747.90	21742.90	21744.53	2025	0	95
