Time;Open;High;Low;Close
2025.10.27 17:00;25892.13;25909.15;25888.33;25906.11
2025.10.27 17:15;25906.07;25907.36;25896.16;25901.87
2025.10.27 17:30;25902.06;25912.92;25900.36;25904.62
2025.10.27 17:45;25905.08;25916.11;25899.31;25912.86
2025.10.27 18:00;25912.61;25915.16;25897.91;25908.11
2025.10.27 18:15;25908.07;25910.57;25891.62;25899.87
2025.10.27 18:30;25899.61;25926.87;25895.15;25922.81
2025.10.27 18:45;25922.82;25927.87;25920.12;25925.88
2025.10.27 19:00;25925.86;25929.62;25918.92;25928.62
2025.10.27 19:15;25928.63;25933.17;25926.62;25929.56
2025.10.27 19:30;25928.92;25937.12;25922.37;25934.87
2025.10.27 19:45;25935.15;25945.15;25927.42;25940.88
2025.10.27 20:00;25941.12;25942.12;25929.27;25931.74
2025.10.27 20:15;25931.74;25931.74;25919.75;25926.03
2025.10.27 20:30;25926.24;25944.27;25923.54;25935.78
2025.10.27 20:45;25936.00;25979.78;25934.75;25959.23
2025.10.27 21:00;25960.03;25974.29;25960.03;25973.25
2025.10.27 21:15;25973.03;25997.29;25971.75;25995.03
2025.10.27 21:30;25995.25;26002.04;25995.04;26001.27
2025.10.27 21:45;26000.74;26011.49;25999.74;26003.09
2025.10.27 23:00;25994.98;25998.24;25985.33;25988.95
2025.10.27 23:15;25989.08;25999.24;25987.73;25993.47
2025.10.27 23:30;25993.18;25997.98;25988.95;25992.74
2025.10.27 23:45;25992.70;25997.47;25990.44;25994.98
2025.10.28 00:00;25995.97;26004.87;25993.43;26002.74
2025.10.28 00:15;26002.49;26015.47;26001.24;26012.22
2025.10.28 00:30;26011.99;26016.24;26004.43;26005.44
2025.10.28 00:45;26005.18;26011.98;25992.74;25993.69
2025.10.28 01:00;25993.72;25994.97;25976.48;25987.99
2025.10.28 01:15;25988.19;25989.56;25980.18;25983.19
2025.10.28 01:30;25982.97;25988.93;25976.68;25982.18
2025.10.28 01:45;25981.95;25983.11;25973.48;25974.74
2025.10.28 02:00;25974.73;25976.97;25963.19;25966.24
2025.10.28 02:15;25966.43;25975.68;25960.93;25968.18
2025.10.28 02:30;25968.24;25980.47;25964.94;25971.20
2025.10.28 02:45;25971.44;25974.99;25965.93;25968.18
2025.10.28 03:00;25968.43;25979.48;25967.47;25975.24
2025.10.28 03:15;25974.99;25980.19;25969.20;25976.70
2025.10.28 03:30;25976.73;25976.94;25967.22;25970.94
2025.10.28 03:45;25970.74;25979.24;25962.69;25976.23
2025.10.28 04:00;25976.18;25983.99;25966.44;25968.97
2025.10.28 04:15;25968.98;25978.45;25968.18;25977.94
